id	name	textpath	key	link	hassubcats	hasproducts	parentkey
	Abrasives	Home:Abrasives	N-bi1	http://www.grainger.com/Grainger/abrasives/ecatalog/N-bi1	TRUE	FALSE	
	"Adhesives, Sealants and Tape"	"Home:Adhesives, Sealants and Tape"	N-bi2	http://www.grainger.com/Grainger/adhesives-sealants-and-tape/ecatalog/N-bi2	TRUE	FALSE	
	Cleaning	Home:Cleaning	N-bi4	http://www.grainger.com/Grainger/cleaning/ecatalog/N-bi4	TRUE	FALSE	
	Electrical	Home:Electrical	N-bi5	http://www.grainger.com/Grainger/electrical/ecatalog/N-bi5	TRUE	FALSE	
	"Electronics, Appliances, and Batteries"	"Home:Electronics, Appliances, and Batteries"	N-cp6	http://www.grainger.com/Grainger/electronics-appliances-and-batteries/ecatalog/N-cp6	TRUE	FALSE	
	Fasteners	Home:Fasteners	N-bi6	http://www.grainger.com/Grainger/fasteners/ecatalog/N-bi6	TRUE	FALSE	
	Fleet and Vehicle Maintenance	Home:Fleet and Vehicle Maintenance	N-cxn	http://www.grainger.com/Grainger/fleet-and-vehicle-maintenance/ecatalog/N-cxn	TRUE	FALSE	
	"Furniture, Hospitality and Food Service"	"Home:Furniture, Hospitality and Food Service"	N-j0r	http://www.grainger.com/Grainger/furniture-hospitality-and-food-service/ecatalog/N-j0r	TRUE	FALSE	
	HVAC and Refrigeration	Home:HVAC and Refrigeration	N-k00	http://www.grainger.com/Grainger/hvac-and-refrigeration/ecatalog/N-k00	TRUE	FALSE	
	Hand Tools	Home:Hand Tools	N-bia	http://www.grainger.com/Grainger/hand-tools/ecatalog/N-bia	TRUE	FALSE	
	Hardware	Home:Hardware	N-bib	http://www.grainger.com/Grainger/hardware/ecatalog/N-bib	TRUE	FALSE	
	Hydraulics	Home:Hydraulics	N-bic	http://www.grainger.com/Grainger/hydraulics/ecatalog/N-bic	TRUE	FALSE	
	Lighting	Home:Lighting	N-bie	http://www.grainger.com/Grainger/lighting/ecatalog/N-bie	TRUE	FALSE	
	Lubrication	Home:Lubrication	N-bif	http://www.grainger.com/Grainger/lubrication/ecatalog/N-bif	TRUE	FALSE	
	Machining	Home:Machining	N-big	http://www.grainger.com/Grainger/machining/ecatalog/N-big	TRUE	FALSE	
	Material Handling	Home:Material Handling	N-bih	http://www.grainger.com/Grainger/material-handling/ecatalog/N-bih	TRUE	FALSE	
	Motors	Home:Motors	N-bii	http://www.grainger.com/Grainger/motors/ecatalog/N-bii	TRUE	FALSE	
	Office Supplies	Home:Office Supplies	N-jkv	http://www.grainger.com/Grainger/office-supplies/ecatalog/N-jkv	TRUE	FALSE	
	Outdoor Equipment	Home:Outdoor Equipment	N-bik	http://www.grainger.com/Grainger/outdoor-equipment/ecatalog/N-bik	TRUE	FALSE	
	"Paint, Equipment and Supplies"	"Home:Paint, Equipment and Supplies"	N-j7s	http://www.grainger.com/Grainger/paint-equipment-and-supplies/ecatalog/N-j7s	TRUE	FALSE	
	Plumbing	Home:Plumbing	N-bim	http://www.grainger.com/Grainger/plumbing/ecatalog/N-bim	TRUE	FALSE	
	Pneumatics	Home:Pneumatics	N-bin	http://www.grainger.com/Grainger/pneumatics/ecatalog/N-bin	TRUE	FALSE	
